,Sex,Length (mm),Diameter (mm),Height (mm,Whole weight (g),Shucked weight (g),Viscera weight (g),Shell weight (g),Rings
2534,I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
2535,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
2536,M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12
2537,F,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12
2538,F,0.7,0.525,0.19,1.6015,0.7070000000000001,0.365,0.43,10
2539,M,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735,10
2540,M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
2541,F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49,11
2542,F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
2543,M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
2544,F,0.37,0.275,0.085,0.2405,0.10400000000000001,0.0535,0.07,5
2545,I,0.405,0.31,0.065,0.3205,0.1575,0.066,0.08800000000000001,6
2546,F,0.63,0.49,0.225,1.3359999999999999,0.6805,0.259,0.3245,10
2547,M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
2548,F,0.56,0.445,0.18,0.903,0.3575,0.2045,0.295,9
2549,M,0.175,0.135,0.04,0.0305,0.011000000000000001,0.0075,0.01,5
2550,F,0.56,0.455,0.16,0.9670000000000001,0.4525,0.207,0.27399999999999997,9
2551,F,0.585,0.45,0.15,0.938,0.467,0.203,0.225,7
2552,M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
2553,M,0.6,0.46,0.155,0.9595,0.4455,0.18899999999999997,0.295,11
2554,F,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.23600000000000002,10
2555,I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
2556,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
2557,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
2558,I,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6
2559,F,0.605,0.455,0.145,0.862,0.33399999999999996,0.1985,0.3,9
2560,I,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,9
2561,M,0.59,0.47,0.15,0.9955,0.48100000000000004,0.23199999999999998,0.24,8
2562,M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12
2563,F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11
2564,F,0.625,0.49,0.175,1.1075,0.4485,0.2165,0.3595,8
2565,M,0.57,0.455,0.15,0.9520000000000001,0.3895,0.2155,0.2745,9
2566,M,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11
2567,I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
2568,I,0.54,0.39,0.125,0.6255,0.2525,0.158,0.19,8
2569,F,0.38,0.32,0.115,0.6475,0.32299999999999995,0.1325,0.16399999999999998,7
2570,F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9
2571,F,0.57,0.47,0.14,0.871,0.385,0.21100000000000002,0.2315,10
2572,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
2573,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8
2574,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7
2575,F,0.615,0.465,0.15,0.9229999999999999,0.4615,0.1825,0.2415,9
2576,F,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9
2577,M,0.48,0.355,0.16,0.46399999999999997,0.221,0.106,0.239,8
2578,I,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8
2579,M,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10
2580,I,0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
2581,F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
2582,F,0.575,0.46,0.15,0.927,0.33299999999999996,0.207,0.2985,9
2583,M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7
2584,I,0.405,0.31,0.11,0.91,0.41600000000000004,0.2075,0.0995,8
2585,F,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10
2586,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
2587,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.22899999999999998,9
2588,M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3
2589,M,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745,11
2590,I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
2591,F,0.48,0.38,0.145,0.59,0.23199999999999998,0.141,0.23,12
2592,M,0.765,0.6,0.22,2.302,1.0070000000000001,0.509,0.6205,12
2593,F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11
2594,F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
2595,M,0.49,0.39,0.135,0.5920000000000001,0.242,0.096,0.1835,15
2596,F,0.64,0.54,0.175,1.2209999999999999,0.51,0.259,0.39,15
2597,F,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10
2598,F,0.66,0.515,0.18,1.5230000000000001,0.54,0.3365,0.555,16
2599,I,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13
2600,I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6
2601,F,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9
2602,F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
2603,F,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9
2604,F,0.55,0.425,0.125,0.9640000000000001,0.5475,0.159,0.215,8
2605,M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
2606,I,0.575,0.455,0.16,0.9895,0.495,0.195,0.24600000000000002,9
2607,F,0.72,0.575,0.17,1.9335,0.9129999999999999,0.389,0.51,13
2608,M,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9
2609,I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10
2610,F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
2611,I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13
2612,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
2613,I,0.57,0.44,0.13,0.7665,0.34700000000000003,0.1785,0.20199999999999999,10
2614,M,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9
2615,F,0.62,0.51,0.18,1.3315,0.594,0.276,0.38799999999999996,11
2616,M,0.645,0.49,0.175,1.32,0.6525,0.2375,0.3385,11
2617,I,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,6
2618,I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6
2619,F,0.62,0.51,0.18,1.2329999999999999,0.5920000000000001,0.27399999999999997,0.322,10
2620,I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
2621,M,0.66,0.515,0.165,1.4465,0.6940000000000001,0.298,0.3755,10
2622,I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.040999999999999995,6
2623,I,0.36,0.28,0.105,0.19899999999999998,0.0695,0.045,0.08,9
2624,M,0.57,0.44,0.155,1.1159999999999999,0.4775,0.2315,0.27,13
2625,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9
2626,I,0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9
2627,F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11
2628,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
2629,I,0.43,0.335,0.105,0.37799999999999995,0.188,0.0785,0.09,6
2630,M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
2631,F,0.725,0.58,0.185,1.5230000000000001,0.8045,0.3595,0.4375,9
2632,M,0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
2633,I,0.425,0.34,0.1,0.382,0.16399999999999998,0.096,0.1,6
2634,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
2635,I,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6
2636,F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15
2637,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
2638,I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8
2639,M,0.38,0.29,0.12,0.28300000000000003,0.1175,0.0655,0.085,9
2640,I,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7
2641,M,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10
2642,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
2643,M,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.11699999999999999,8
2644,I,0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6
2645,F,0.515,0.435,0.17,0.631,0.2765,0.111,0.21600000000000003,12
2646,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
2647,I,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8
2648,I,0.305,0.215,0.065,0.1075,0.044000000000000004,0.0205,0.038,5
2649,I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.09300000000000001,6
2650,I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
2651,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
2652,M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
2653,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10
2654,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
2655,M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
2656,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
2657,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10
2658,F,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,20
2659,F,0.435,0.35,0.11,0.384,0.14300000000000002,0.1005,0.125,13
2660,I,0.445,0.33,0.12,0.34700000000000003,0.12,0.084,0.105,11
2661,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
2662,I,0.375,0.275,0.085,0.22,0.109,0.05,0.0605,7
2663,F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10
2664,I,0.395,0.32,0.1,0.3075,0.149,0.0535,0.09,8
2665,I,0.385,0.29,0.085,0.2505,0.11199999999999999,0.061,0.08,8
2666,I,0.52,0.4,0.14,0.622,0.278,0.1455,0.16899999999999998,8
2667,I,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08,7
2668,F,0.625,0.49,0.155,1.2085,0.465,0.162,0.41100000000000003,11
2669,F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
2670,I,0.5,0.39,0.13,0.5075,0.2115,0.10400000000000001,0.1755,9
2671,M,0.255,0.18,0.065,0.079,0.034,0.013999999999999999,0.025,5
2672,I,0.46,0.37,0.12,0.5335,0.2645,0.10800000000000001,0.1345,6
2673,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
2674,M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
2675,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9
2676,M,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9
2677,F,0.64,0.5,0.175,1.3940000000000001,0.4935,0.29100000000000004,0.4,10
2678,M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11
2679,I,0.53,0.42,0.13,0.8365,0.3745,0.16699999999999998,0.249,11
2680,F,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,12
2681,F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21
2682,M,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
2683,I,0.5,0.375,0.14,0.5495,0.248,0.11199999999999999,0.1585,7
2684,M,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22
2685,I,0.575,0.45,0.135,0.807,0.3615,0.17600000000000002,0.254,10
2686,F,0.53,0.425,0.17,0.9490000000000001,0.3485,0.2395,0.278,17
2687,M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
2688,I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5
2689,I,0.44,0.34,0.12,0.43799999999999994,0.2115,0.083,0.12,9
2690,F,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,10
2691,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
2692,M,0.76,0.605,0.215,2.173,0.8009999999999999,0.4915,0.6459999999999999,13
2693,I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6
2694,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
2695,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
2696,F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12
2697,M,0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,11
2698,M,0.495,0.375,0.115,0.6245,0.282,0.14300000000000002,0.155,6
2699,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16
2700,I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
2701,M,0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
2702,M,0.515,0.39,0.14,0.6779999999999999,0.341,0.1325,0.11900000000000001,8
2703,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
2704,M,0.555,0.45,0.145,0.915,0.4,0.24600000000000002,0.285,11
2705,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
2706,I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19,9
2707,M,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20
2708,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12
2709,I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11
2710,I,0.6,0.475,0.15,1.12,0.565,0.2465,0.27,10
2711,M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
2712,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13
2713,I,0.455,0.375,0.125,0.5329999999999999,0.233,0.106,0.185,8
2714,F,0.635,0.485,0.165,1.2945,0.6679999999999999,0.2605,0.2715,9
2715,I,0.35,0.265,0.095,0.19899999999999998,0.073,0.049,0.06,5
2716,M,0.59,0.46,0.155,0.9059999999999999,0.327,0.1485,0.335,15
2717,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
2718,M,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17
2719,M,0.635,0.48,0.235,1.064,0.413,0.228,0.36,16
2720,M,0.59,0.47,0.18,1.187,0.5985,0.22699999999999998,0.31,9
2721,M,0.72,0.55,0.205,2.165,1.1055,0.525,0.40399999999999997,10
2722,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7
2723,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
2724,M,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19
2725,F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15
2726,I,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05,7
2727,M,0.555,0.41,0.125,0.599,0.2345,0.1465,0.19399999999999998,8
2728,F,0.55,0.43,0.155,0.785,0.289,0.22699999999999998,0.233,11
2729,M,0.655,0.58,0.205,2.0805,0.9590000000000001,0.3415,0.601,17
2730,F,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
2731,M,0.61,0.48,0.185,1.3065,0.6895,0.2915,0.29,10
2732,I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8
2733,M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
2734,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
2735,M,0.27,0.195,0.07,0.106,0.0465,0.018000000000000002,0.036000000000000004,7
2736,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
2737,M,0.55,0.435,0.14,0.7625,0.327,0.1685,0.259,10
2738,M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000003,7
2739,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14
2740,I,0.425,0.325,0.11,0.3335,0.17300000000000001,0.045,0.1,7
2741,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
2742,I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7
2743,I,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
2744,I,0.55,0.425,0.145,0.89,0.4325,0.171,0.23600000000000002,10
2745,M,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
2746,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
2747,M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11
2748,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
2749,M,0.54,0.405,0.125,0.8909999999999999,0.4815,0.1915,0.20199999999999999,9
2750,M,0.385,0.295,0.095,0.335,0.147,0.094,0.09,7
2751,I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8
2752,I,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8
2753,I,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20
2754,M,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.21899999999999997,8
2755,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
2756,F,0.67,0.55,0.155,1.5659999999999998,0.858,0.33899999999999997,0.354,10
2757,M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
2758,F,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175,8
2759,F,0.575,0.46,0.145,0.9945,0.466,0.22899999999999998,0.265,7
2760,M,0.55,0.45,0.155,0.7895,0.34299999999999997,0.159,0.25,12
2761,F,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,10
2762,M,0.565,0.44,0.155,0.868,0.348,0.217,0.26,11
2763,F,0.575,0.47,0.165,0.8690000000000001,0.435,0.19699999999999998,0.23800000000000002,9
2764,M,0.67,0.525,0.18,1.4915,0.728,0.34299999999999997,0.381,9
2765,M,0.51,0.415,0.14,0.8185,0.3025,0.2155,0.235,16
2766,F,0.435,0.35,0.105,0.4195,0.19399999999999998,0.1005,0.13,7
2767,F,0.47,0.375,0.125,0.5615,0.252,0.13699999999999998,0.18,10
2768,F,0.62,0.48,0.23,1.0935,0.40299999999999997,0.245,0.355,14
2769,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
2770,F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10
2771,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10
2772,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
2773,M,0.49,0.395,0.14,0.5489999999999999,0.2215,0.1275,0.15,11
2774,M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10
2775,M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10
2776,F,0.525,0.415,0.14,0.7240000000000001,0.3475,0.17300000000000001,0.175,8
2777,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
2778,M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8
2779,M,0.585,0.465,0.165,0.885,0.4025,0.1625,0.27399999999999997,10
2780,I,0.485,0.37,0.13,0.45799999999999996,0.18100000000000002,0.113,0.136,10
2781,F,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
2782,I,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,10
2783,I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
2784,F,0.595,0.495,0.185,1.285,0.41600000000000004,0.22399999999999998,0.485,13
2785,I,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
2786,I,0.46,0.355,0.14,0.4935,0.21600000000000003,0.133,0.115,13
2787,M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8
2788,F,0.615,0.525,0.155,1.0385,0.42700000000000005,0.2315,0.345,11
2789,F,0.6,0.47,0.15,0.922,0.363,0.19399999999999998,0.305,10
2790,F,0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
2791,I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
2792,F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12
2793,F,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,9
2794,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13
2795,F,0.675,0.525,0.17,1.7109999999999999,0.8365,0.35200000000000004,0.475,9
2796,M,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14
2797,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
2798,I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7
2799,M,0.695,0.53,0.15,1.4769999999999999,0.6375,0.3025,0.43,14
2800,F,0.57,0.44,0.19,1.018,0.447,0.207,0.265,9
2801,M,0.595,0.49,0.185,1.185,0.48200000000000004,0.2015,0.361,10
2802,F,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15
2803,F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16
2804,M,0.625,0.47,0.15,1.124,0.556,0.2315,0.287,9
2805,I,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6
2806,F,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,9
2807,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
2808,I,0.455,0.335,0.105,0.42200000000000004,0.22899999999999998,0.0865,0.1,6
2809,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
2810,M,0.62,0.485,0.155,1.0490000000000002,0.462,0.231,0.25,10
2811,M,0.605,0.455,0.16,1.1215,0.5329999999999999,0.273,0.271,10
2812,F,0.55,0.425,0.14,0.9520000000000001,0.4895,0.1945,0.2185,7
2813,F,0.535,0.425,0.135,0.7709999999999999,0.3765,0.1815,0.1795,8
2814,M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18
2815,F,0.665,0.525,0.18,1.5785,0.6779999999999999,0.22899999999999998,0.456,14
2816,F,0.475,0.38,0.145,0.57,0.16699999999999998,0.11800000000000001,0.187,11
2817,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.28800000000000003,9
2818,I,0.39,0.3,0.1,0.2665,0.1105,0.059000000000000004,0.084,7
2819,I,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11
2820,F,0.58,0.44,0.18,0.8540000000000001,0.3665,0.1635,0.245,12
2821,I,0.35,0.265,0.11,0.209,0.066,0.059000000000000004,0.075,9
2822,F,0.505,0.38,0.145,0.6509999999999999,0.2935,0.19,0.17,12
2823,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
2824,I,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5
2825,F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
2826,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
2827,F,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085,10
2828,M,0.155,0.115,0.025,0.024,0.009000000000000001,0.005,0.0075,5
2829,M,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,7
2830,I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8
2831,F,0.55,0.43,0.14,0.7135,0.2565,0.18600000000000003,0.225,9
2832,F,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
2833,I,0.365,0.27,0.085,0.19699999999999998,0.0815,0.0325,0.065,6
2834,M,0.735,0.57,0.21,2.2355,1.1705,0.46299999999999997,0.5315,10
2835,I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
2836,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
2837,F,0.55,0.435,0.14,0.745,0.34700000000000003,0.174,0.2265,9
2838,F,0.37,0.295,0.1,0.2685,0.1165,0.055999999999999994,0.0835,7
2839,I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8
2840,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9
2841,M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13
2842,M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
2843,I,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,7
2844,I,0.24,0.175,0.055,0.0705,0.025,0.013999999999999999,0.021,5
2845,I,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,8
2846,M,0.57,0.43,0.12,1.0615,0.348,0.16699999999999998,0.31,15
2847,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
2848,M,0.625,0.495,0.175,1.254,0.5815,0.28600000000000003,0.3185,9
2849,M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11
2850,M,0.455,0.35,0.11,0.45799999999999996,0.2,0.111,0.1305,8
2851,F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11
2852,I,0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5
2853,M,0.735,0.585,0.185,2.124,0.9520000000000001,0.55,0.5,11
2854,F,0.605,0.515,0.17,1.2890000000000001,0.6,0.2945,0.3315,9
2855,M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11
2856,I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
2857,F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17
2858,F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11
2859,M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
2860,I,0.355,0.275,0.09,0.251,0.09699999999999999,0.053,0.08,7
2861,M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
2862,I,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7
2863,I,0.28,0.205,0.07,0.1015,0.040999999999999995,0.03,0.03,6
2864,F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18
2865,F,0.62,0.475,0.15,0.9545,0.455,0.1865,0.27699999999999997,9
2866,I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7
2867,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
2868,M,0.505,0.385,0.145,0.6775,0.23600000000000002,0.179,0.2,15
2869,M,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
2870,M,0.63,0.49,0.16,1.09,0.40700000000000003,0.22399999999999998,0.354,12
2871,M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.16899999999999998,8
2872,I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,9
2873,M,0.4,0.315,0.105,0.287,0.1135,0.037000000000000005,0.113,10
2874,M,0.61,0.475,0.175,1.024,0.409,0.261,0.322,9
2875,M,0.705,0.55,0.21,1.4385,0.655,0.3255,0.462,11
2876,M,0.38,0.27,0.095,0.21899999999999997,0.0835,0.0515,0.07,6
2877,M,0.6,0.455,0.155,0.945,0.4365,0.2085,0.25,8
2878,I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535,8
2879,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
2880,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.39399999999999996,10
2881,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
2882,M,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16
2883,M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7
2884,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
2885,I,0.525,0.39,0.105,0.5670000000000001,0.2875,0.1075,0.16,8
2886,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
2887,I,0.37,0.275,0.08,0.2325,0.09300000000000001,0.055999999999999994,0.07200000000000001,6
2888,F,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15
2889,M,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125,8
2890,F,0.69,0.55,0.18,1.659,0.8715,0.2655,0.4395,9
